English,Type,Episodes,Status,Start_Aired,End_Aired,Premiered,Studios,Source,Genres,Demographics,Score,Popularity,Favorites
"Love, Chunibyo & Other Delusions! Sparkling... Slapstick Noel",Special,1,Finished Airing,"Jun 19, 2013",Not Available,Unknown,Kyoto Animation,Light novel,"Comedy, Romance",Unknown,7.501,968,164
Aoharu x Machinegun,TV,12,Finished Airing,"Jul 3, 2015","Sep 18, 2015",Summer 2015,Brain's Base,Manga,Sports,Shounen,7.161,969,1291
Unknown,TV,12,Finished Airing,"Jul 6, 2009","Sep 21, 2009",Summer 2009,GoHands,Visual novel,"Comedy, Ecchi",Unknown,6.701,970,363
Record of Ragnarok,ONA,12,Finished Airing,"Jun 17, 2021",Not Available,Unknown,Graphinica,Manga,"Action, Drama, Fantasy",Seinen,6.651,971,1281
A Certain Scientific Accelerator,TV,12,Finished Airing,"Jul 12, 2019","Sep 27, 2019",Summer 2019,J.C.Staff,Manga,"Fantasy, Supernatural",Unknown,7.201,972,840
His and Her Circumstances,TV,26,Finished Airing,"Oct 2, 1998","Mar 26, 1999",Fall 1998,"Gainax, J.C.Staff",Manga,"Comedy, Drama, Romance, Slice of Life",Shoujo,7.601,973,2401
Fate/stay night Unlimited Blade Works,Movie,1,Finished Airing,"Jan 23, 2010",Not Available,Unknown,Studio Deen,Visual novel,"Action, Fantasy, Supernatural",Unknown,7.381,974,832
The Lost Village,TV,12,Finished Airing,"Apr 1, 2016","Jun 17, 2016",Spring 2016,Diomedéa,Original,"Drama, Horror, Mystery",Unknown,5.501,975,276
Umineko When They Cry,TV,26,Finished Airing,"Jul 2, 2009","Dec 24, 2009",Summer 2009,Studio Deen,Visual novel,"Horror, Mystery, Supernatural",Unknown,7.061,976,1892
KanColle Kantai Collection,TV,12,Finished Airing,"Jan 8, 2015","Mar 26, 2015",Winter 2015,Diomedéa,Game,"Action, Sci-Fi, Slice of Life",Unknown,6.841,977,1345
True Tears,TV,13,Finished Airing,"Jan 6, 2008","Mar 30, 2008",Winter 2008,P.A. Works,Original,"Drama, Romance",Unknown,7.301,978,884
Sound! Euphonium 2,TV,13,Finished Airing,"Oct 6, 2016","Dec 29, 2016",Fall 2016,Kyoto Animation,Novel,Drama,Unknown,8.301,979,3209
Mobile Suit Gundam 00,TV,25,Finished Airing,"Oct 6, 2007","Mar 29, 2008",Fall 2007,Sunrise,Original,"Action, Drama, Sci-Fi",Unknown,8.121,980,4304
Shugo Chara!,TV,51,Finished Airing,"Oct 6, 2007","Sep 27, 2008",Fall 2007,Satelight,Manga,Comedy,Shoujo,7.401,981,2812
Berserk The Golden Age Arc I - The Egg of the King,Movie,1,Finished Airing,"Feb 4, 2012",Not Available,Unknown,Studio 4°C,Manga,"Action, Adventure, Fantasy, Supernatural",Seinen,7.711,982,895
Unknown,Movie,1,Finished Airing,"Sep 20, 2019",Not Available,Unknown,Graphinica,Original,"Drama, Romance, Sci-Fi",Unknown,7.511,983,1228
Unknown,TV,12,Finished Airing,"Oct 11, 2009","Dec 27, 2009",Fall 2009,Madhouse,Novel,"Drama, Suspense",Seinen,7.701,984,1555
Sekai Ichi Hatsukoi - World's Greatest First Love,TV,12,Finished Airing,"Apr 9, 2011","Jun 25, 2011",Spring 2011,Studio Deen,Manga,"Boys Love, Comedy, Drama, Romance",Unknown,7.671,985,3011
The Genius Prince's Guide to Raising a Nation Out of Debt,TV,12,Finished Airing,"Jan 11, 2022","Mar 29, 2022",Winter 2022,Yokohama Animation Lab,Light novel,"Comedy, Fantasy",Unknown,7.411,986,1324
Ya Boy Kongming!,TV,12,Finished Airing,"Apr 5, 2022","Jun 16, 2022",Spring 2022,P.A. Works,Manga,Unknown,Unknown,8.251,987,2132
Karneval,TV,13,Finished Airing,"Apr 4, 2013","Jun 27, 2013",Spring 2013,Manglobe,Manga,"Action, Fantasy, Mystery, Sci-Fi",Josei,7.101,988,1135
Koikimo,TV,12,Finished Airing,"Apr 5, 2021","Jun 14, 2021",Spring 2021,Nomad,Web manga,"Comedy, Romance",Unknown,7.151,989,1613
Unknown,Movie,1,Finished Airing,"Sep 14, 2005",Not Available,Unknown,Square Enix,Game,"Action, Fantasy",Unknown,7.731,990,1079
Servant x Service,TV,13,Finished Airing,"Jul 5, 2013","Sep 27, 2013",Summer 2013,A-1 Pictures,4-koma manga,"Comedy, Slice of Life",Seinen,7.641,991,656
A Certain Scientific Railgun T,TV,25,Finished Airing,"Jan 10, 2020","Sep 25, 2020",Winter 2020,J.C.Staff,Manga,"Action, Sci-Fi",Unknown,8.191,993,3142
Moribito - Guardian of the Spirit,TV,26,Finished Airing,"Apr 7, 2007","Sep 29, 2007",Spring 2007,Production I.G,Novel,"Action, Adventure, Fantasy",Unknown,8.141,994,2603
I'm Quitting Heroing,TV,12,Finished Airing,"Apr 5, 2022","Jun 21, 2022",Spring 2022,EMT Squared,Light novel,"Action, Adventure, Comedy, Fantasy",Unknown,7.061,995,1508
Dragonar Academy,TV,12,Finished Airing,"Apr 5, 2014","Jun 21, 2014",Spring 2014,C-Station,Light novel,"Comedy, Fantasy, Ecchi",Unknown,6.441,996,266
The Place Promised in Our Early Days,Movie,1,Finished Airing,"Nov 20, 2004",Not Available,Unknown,CoMix Wave Films,Original,"Drama, Romance, Sci-Fi",Unknown,7.471,997,717
Fate/Extra Last Encore,TV,10,Finished Airing,"Jan 28, 2018","Apr 1, 2018",Winter 2018,Shaft,Game,"Action, Fantasy",Unknown,6.281,998,460
07-Ghost,TV,25,Finished Airing,"Apr 7, 2009","Sep 22, 2009",Spring 2009,Studio Deen,Manga,"Action, Fantasy",Josei,7.201,999,2051
Ladies versus Butlers!,TV,12,Finished Airing,"Jan 5, 2010","Mar 23, 2010",Winter 2010,Xebec,Light novel,"Comedy, Romance, Ecchi",Unknown,6.571,1000,251
I've Always Liked You,Movie,1,Finished Airing,"Apr 23, 2016",Not Available,Unknown,Qualia Animation,Music,Romance,Unknown,7.221,1001,581
Unknown,Movie,6,Finished Airing,"Nov 10, 2018",Not Available,Unknown,Shaft,Light novel,"Comedy, Mystery, Supernatural",Unknown,8.461,1002,903
World's End Harem,TV,11,Finished Airing,"Oct 8, 2021","Mar 18, 2022",Fall 2021,"Studio Gokumi, AXsiZ",Manga,"Sci-Fi, Ecchi",Shounen,6.001,1003,1871
Edens Zero,TV,25,Finished Airing,"Apr 11, 2021","Oct 3, 2021",Spring 2021,J.C.Staff,Manga,"Adventure, Comedy, Fantasy, Sci-Fi",Shounen,7.321,1004,1766
Full Dive The Ultimate Next-Gen Full Dive RPG Is Even Shittier than Real Life!,TV,12,Finished Airing,"Apr 7, 2021","Jun 23, 2021",Spring 2021,ENGI,Light novel,"Action, Comedy, Fantasy",Unknown,6.471,1005,1006
The Case Study of Vanitas Part 2,TV,12,Finished Airing,"Jan 15, 2022","Apr 2, 2022",Winter 2022,Bones,Manga,Supernatural,Shounen,8.211,1006,2241
Sabikui Bisco,TV,12,Finished Airing,"Jan 11, 2022","Mar 29, 2022",Winter 2022,"NAZ, OZ",Light novel,"Action, Adventure, Fantasy, Sci-Fi",Unknown,7.201,1007,1303
Our love has always been 10 centimeters apart.,TV,6,Finished Airing,"Nov 25, 2017","Dec 30, 2017",Fall 2017,Lay-duce,Music,"Comedy, Drama, Romance",Unknown,7.481,1008,711
Beautiful Bones -Sakurako's Investigation-,TV,12,Finished Airing,"Oct 8, 2015","Dec 24, 2015",Fall 2015,TROYCA,Novel,"Drama, Mystery, Suspense",Unknown,7.421,1009,920
Pop Team Epic,TV,12,Finished Airing,"Jan 7, 2018","Mar 25, 2018",Winter 2018,Kamikaze Douga,4-koma manga,Comedy,Unknown,7.281,1010,1228
The Garden of Sinners Chapter 4 The Hollow Shrine,Movie,1,Finished Airing,"May 24, 2008",Not Available,Unknown,ufotable,Light novel,"Action, Mystery, Supernatural, Suspense",Unknown,7.841,1011,296
Joker Game,TV,12,Finished Airing,"Apr 5, 2016","Jun 21, 2016",Spring 2016,Production I.G,Novel,Drama,Unknown,7.041,1012,589
Chrome Shelled Regios,TV,24,Finished Airing,"Jan 11, 2009","Jun 21, 2009",Winter 2009,Zexcs,Light novel,"Action, Adventure, Fantasy, Sci-Fi",Unknown,7.291,1013,1025
The Tale of the Princess Kaguya,Movie,1,Finished Airing,"Nov 23, 2013",Not Available,Unknown,Studio Ghibli,Other,Fantasy,Unknown,8.211,1014,2226
Flowers of Evil,TV,13,Finished Airing,"Apr 5, 2013","Jun 30, 2013",Spring 2013,Zexcs,Manga,"Drama, Romance",Shounen,7.141,1015,2849
Berserk The Golden Age Arc III - The Advent,Movie,1,Finished Airing,"Feb 1, 2013",Not Available,Unknown,Studio 4°C,Manga,"Action, Adventure, Drama, Fantasy, Horror, Supernatural",Seinen,8.201,1016,1462
Cells at Work! CODE BLACK!,TV,13,Finished Airing,"Jan 10, 2021","Mar 19, 2021",Winter 2021,LIDENFILMS,Manga,"Action, Drama",Seinen,7.531,1017,429
Fairy Tail the Movie The Phoenix Priestess,Movie,1,Finished Airing,"Aug 18, 2012",Not Available,Unknown,"Satelight, A-1 Pictures",Manga,"Action, Adventure, Fantasy",Shounen,7.371,1018,497
Unknown,Movie,3,Finished Airing,"Oct 2, 2020",Not Available,Unknown,"Studio Colorido, team Yamahitsuji",Manga,"Action, Fantasy",Shounen,7.111,1019,516
Paradise Kiss,TV,12,Finished Airing,"Oct 14, 2005","Dec 30, 2005",Fall 2005,Madhouse,Manga,"Comedy, Drama, Romance, Slice of Life",Josei,7.851,1020,3773
The Founder of Diabolism Season 1,ONA,15,Finished Airing,"Jul 9, 2018","Oct 6, 2018",Unknown,B.CMAY PICTURES,Web novel,"Action, Adventure, Fantasy, Mystery, Supernatural",Unknown,8.461,1021,5896
Yu-Gi-Oh! GX,TV,180,Finished Airing,"Oct 6, 2004","Mar 26, 2008",Fall 2004,Gallop,Manga,"Action, Comedy, Fantasy",Shounen,7.181,1022,1444
Detroit Metal City The Animated Series,OVA,12,Finished Airing,"Aug 8, 2008","Oct 28, 2008",Unknown,Studio 4°C,Manga,Comedy,Seinen,8.111,1023,3164
Moriarty the Patriot Season 2,TV,13,Finished Airing,"Apr 4, 2021","Jun 27, 2021",Spring 2021,Production I.G,Manga,"Mystery, Suspense",Shounen,8.251,1024,2601
NAKAIMO - My Little Sister Is Among Them!,TV,12,Finished Airing,"Jul 6, 2012","Sep 28, 2012",Summer 2012,Studio Gokumi,Light novel,"Comedy, Mystery, Romance, Ecchi",Unknown,6.531,1025,239
Gurren Lagann The Movie The Lights in the Sky are Stars,Movie,1,Finished Airing,"Apr 22, 2009",Not Available,Unknown,Gainax,Original,"Action, Sci-Fi",Unknown,8.571,1026,897
